communicationType,communicationSubType,model,variant,alternateModelName,url,activeFlag,Updated URL
SMS,vehicleBrochure,XL6,Non Tour,,https://nexaprod2.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/xl6-brochure-for-digital.pdf,TRUE,
SMS,vehicleBrochure,BALENO,Non Tour,NEW BALENO,https://nexaprod1.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/the-new-age-baleno_new_brochure.pdf,TRUE,https://www.nexaexperience.com/pdf-viewer?pdf=%2Fcontent%2Fdam%2Fmsil%2Fnexa%2Fin%2Fen%2Fassets%2Fcars%2Fbaleno%2Fdocuments%2FNEXA-Baleno-Brochure.pdf
SMS,vehicleBrochure,IGNIS,Non Tour,,https://nexaprod4.azureedge.net/-/media/feature/nexawebsiteherobanner/brochure/ignis-brochure.pdf,TRUE,https://www.nexaexperience.com/pdf-viewer?pdf=%2Fcontent%2Fdam%2Fmsil%2Fnexa%2Fin%2Fen%2Fassets%2Fcars%2Fignis%2Fdocuments%2FNexa-Ignis-Brochure.pdf
SMS,vehicleBooking,,Non Tour,,https://www.nexaexperience.com/e-booking?login=0%26utm_source=crm%26utm_medium=sms%26utm_content=ebook%26utm_campaign=callcentre_tollfree_crm,TRUE,Nexa
SMS,vehicleBooking,,Non Tour,,https://www.marutisuzuki.com/channels/arena/service/ebook-car?utm_source=crm%26utm_medium=sms%26utm_content=ebook%26utm_campaign=callcentre_tollfree_crm,TRUE,Arena
SMS,testDriveBooking,,Non Tour,,https://www.nexaexperience.com/book-test-drive?utm_source=crm%26utm_medium=sms%26utm_content=btd%26utm_campaign=callcentre_tollfree_crm\n,TRUE,Nexa
SMS,showRoomVisit,,Non Tour,,https://www.marutisuzuki.com/book-showroom-visit?utm_source=crm%26utm_medium=sms%26utm_content=bs%26utm_campaign=callcentre_tollfree_crm,TRUE,Arena
SMS,showRoomVisit,,Non Tour,,https://www.nexaexperience.com/book-showroom-visit?utm_source=crm%26utm_medium=sms%26utm_content=bs%26utm_campaign=callcentre_tollfree_crm,TRUE,Nexa
SMS,testDriveBooking,,Non Tour,,https://www.marutisuzuki.com/book-a-test-drive?utm_source=crm%26utm_medium=sms%26utm_content=btd%26utm_campaign=callcentre_tollfree_crm\n,TRUE,Arena
SMS,vehicleBrochure,DZIRE,Tour,NEW SWIFT DZIRE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w,TRUE,https://static.marutisuzukicommercial.com/-/media/msilcommercial/images/tours/document/dzire-tour-s---commercial-leaflet_digital.pdf?_gl=1*113vm3b*_ga*MjA1NDIyNDg0NS4xNzAxMTU1ODM5*_ga_M8CBMSMWSG*MTcxNTY4NTA1My4xMi4xLjE3MTU2ODUwNzcuMzYuMC4w
